State n. |  orientation | Speed | Steer | location(x,y) |NearPoint  | distance |controlerlocation 
[60.0, 7.5]  |   28.197306602660078  |[31.913738250732422, 4.9999998807907104] |[60.0, 7.5] | 27.072329101562502 | [30.  37.5 45.  52.5 60. ] | [60.0, 7.5]
60    |-2.340969013513585   | 22.021759940216576  |-4.199905097484589   |[11.718273401260376, 77.1111068725586]  |[90.0, 7.5]  |   13.156218902083157  |[77.5500659942627, 11.752674341201782] |[60.0, 7.499999999999998] | 6.1557892636366836 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
61    |-1.9439465339214612   | 21.984961655845296  |-3.599930703639984   |[11.752674341201782, 77.5500659942627]  |[90.0, 7.5]  |   12.747109681565295  |[77.99145126342773, 11.775928258895874] |[60.0, 7.499999999999998] | 6.181411429690246 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
62    |-1.5880525721211702   | 22.076469391750877  |-2.999947667121887   |[11.775928258895874, 77.99145126342773]  |[90.0, 7.5]  |   12.335456061524502  |[78.43506813049316, 11.791366577148438] |[60.0, 7.499999999999998] | 6.209510218581538 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
63    |-1.1271070690895604   | 22.176822209219775  |-2.399960905313492   |[11.791366577148438, 78.43506813049316]  |[90.0, 7.5]  |   11.922583434728722  |[78.88041305541992, 11.801486015319824] |[60.0, 7.499999999999998] | 6.233004128932125 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
64    |-0.8472068389212941   | 22.260729031900443  |-1.7999690771102905   |[11.801486015319824, 78.88041305541992]  |[90.0, 7.5]  |   11.509767760538466  |[79.32724380493164, 11.808947563171387] |[60.0, 7.499999999999998] | 6.254578153335477 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
65    |-0.627125808907464   | 22.337779119055273  |-1.1999736726284027   |[11.808947563171387, 79.32724380493164]  |[90.0, 7.5]  |   11.098628525678519  |[79.7751636505127, 11.816512107849121] |[60.0, 7.499999999999998] | 6.270755776306647 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
66    |-0.45693510177952046   | 22.395556343952308  |-0.5999762192368507   |[11.816512107849121, 79.7751636505127]  |[90.0, 7.5]  |   10.6910815704429  |[80.22373390197754, 11.82710599899292] |[60.0, 7.499999999999998] | 6.281342528549459 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
67    |-0.33737590475821744   | 22.433366173390922  |2.3767352104187012e-05   |[11.82710599899292, 80.22373390197754]  |[90.0, 7.5]  |   10.289463400559935  |[80.67236709594727, 11.843768119812012] |[60.0, 7.499999999999998] | 6.285283565747698 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
68    |-0.27216118621821206   | 22.447441306241778  |0.6000235304236412   |[11.843768119812012, 80.67236709594727]  |[90.0, 7.5]  |   9.896572658235344  |[81.1203384399414, 11.869640827178955] |[60.0, 7.499999999999998] | 6.282102534316785 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
69    |-0.26139952815109435   | 22.4360804797028  |1.2000235170125961   |[11.869640827178955, 81.1203384399414]  |[90.0, 7.5]  |   9.515811017292135  |[81.56667709350586, 11.907916069030762] |[60.0, 7.499999999999998] | 6.271351767763272 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
70    |-0.30729741738915006   | 22.397684884868827  |1.8000231683254242   |[11.907916069030762, 81.56667709350586]  |[90.0, 7.5]  |   9.151278018099458  |[82.0101089477539, 11.961785554885864] |[60.0, 7.499999999999998] | 6.252699186101822 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
71    |-0.4484692103425365   | 22.33106852179222  |2.400023341178894   |[11.961785554885864, 82.0101089477539]  |[90.0, 7.5]  |   8.807484241138795  |[82.44923210144043, 12.034058094024658] |[60.0, 7.499999999999998] | 6.22850086831875 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
72    |-0.605508424206973   | 22.244645958281247  |3.000025153160095   |[12.034058094024658, 82.44923210144043]  |[90.0, 7.5]  |   8.488404317257116  |[82.88311958312988, 12.12633991241455] |[60.0, 7.499999999999998] | 6.20725470474329 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
