State n. | Speed | Steer | location(x,y) | AngularSpeed | time 
80    |24.129730942728823   |0.13999998569488525   |[4.13366162776947, 89.69864845275879]  |0.061651166528463364  |0.06433629989624023     
81    |24.12930400101335   |0.15047116205096245   |[4.117167830467224, 90.18095207214355]  |-0.09647577255964279  |0.06447219848632812     
82    |24.128488063168145   |0.16268007457256317   |[4.101944386959076, 90.66328811645508]  |-0.04886360466480255  |0.06339764595031738     
83    |24.12848534249902   |0.11092960834503174   |[4.087645947933197, 91.14564323425293]  |-0.09048876911401749  |0.064117431640625     
84    |24.128591623823844   |0.07747611030936241   |[4.07300341129303, 91.62799072265625]  |-0.04856008663773537  |0.06421184539794922     
85    |24.128781726538666   |0.02484504133462906   |[4.058074235916138, 92.1103401184082]  |-0.049720074981451035  |0.12907171249389648     
86    |24.12887633006333   |-0.012225061655044556   |[4.04236376285553, 92.5926628112793]  |-0.01553222257643938  |0.06473731994628906     
87    |24.128886285261157   |-0.07362004369497299   |[4.0259315967559814, 93.07496070861816]  |-0.003169695846736431  |0.06409096717834473     
88    |24.128715562297078   |-0.10052677243947983   |[4.008088767528534, 93.55720901489258]  |0.03814832866191864  |0.06323456764221191     
89    |24.12848867832486   |-0.12358400970697403   |[3.9892292618751526, 94.0394058227539]  |0.046446334570646286  |0.06403827667236328     
90    |24.128284716504776   |-0.1298336684703827   |[3.9693498015403748, 94.52156448364258]  |0.06703848391771317  |0.06369829177856445     
91    |24.128131037390208   |-0.13327650725841522   |[3.9486712217330933, 95.00368690490723]  |0.07094858586788177  |0.06376409530639648     
92    |24.128040848843504   |-0.12837164103984833   |[3.92721688747406, 95.48576736450195]  |0.07908468693494797  |0.06342792510986328     
93    |24.127992512308143   |-0.12252923101186752   |[3.9051157236099243, 95.96781921386719]  |0.0785386934876442  |0.06441092491149902     
94    |24.12798769346195   |-0.11391725391149521   |[3.8823927640914917, 96.44984817504883]  |0.07959659397602081  |0.1123805046081543     
95    |24.128004265139083   |-0.10593876242637634   |[3.859108805656433, 96.93184661865234]  |0.07674145698547363  |0.06454920768737793     
